iter	Passed	Remaining
0	1	104
1	2	98
2	2	94
3	3	87
4	4	86
5	5	85
6	6	85
7	7	84
8	8	83
9	9	81
10	9	80
11	10	79
12	11	78
13	12	77
14	13	77
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	18	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	25	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	82	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
