iter	Passed	Remaining
0	138	138427
1	140	70052
2	142	47262
3	143	35759
4	145	28873
5	146	24320
6	148	21113
7	150	18645
8	151	16730
9	153	15169
10	155	13993
11	157	12951
12	158	12047
13	160	11285
14	161	10624
15	163	10053
16	164	9535
17	166	9082
18	167	8673
19	169	8302
20	171	7974
21	172	7671
22	174	7391
23	175	7137
24	179	7008
25	181	6789
26	182	6587
27	184	6405
28	185	6224
29	187	6075
30	189	5935
31	192	5809
32	193	5671
33	194	5533
34	196	5409
35	197	5300
36	199	5192
37	201	5112
38	203	5015
39	206	4965
40	208	4879
41	210	4796
42	211	4713
43	213	4648
44	215	4582
45	217	4513
46	219	4454
47	221	4386
48	222	4326
49	224	4265
50	226	4211
51	228	4160
52	229	4107
53	231	4055
54	233	4007
55	235	3973
56	237	3929
57	239	3884
58	240	3838
59	242	3795
60	243	3755
61	245	3718
62	247	3687
63	249	3652
64	251	3618
65	253	3585
66	254	3550
67	256	3517
68	258	3487
69	260	3459
70	262	3433
71	264	3408
72	266	3380
73	268	3354
74	269	3327
75	271	3298
76	272	3270
77	274	3245
78	280	3267
79	282	3245
80	283	3221
81	285	3201
82	287	3170
83	288	3148
84	290	3126
85	292	3110
86	294	3089
87	296	3071
88	298	3051
89	299	3030
90	301	3008
91	302	2988
92	304	2969
93	306	2954
94	308	2937
95	310	2919
96	311	2901
97	313	2884
98	314	2865
99	316	2847
100	317	2830
101	319	2814
102	322	2805
103	323	2790
104	325	2777
105	327	2764
106	329	2748
107	330	2732
108	332	2716
109	333	2700
110	337	2702
111	339	2692
112	341	2679
113	343	2666
114	345	2657
115	347	2645
116	348	2629
117	350	2618
118	353	2614
119	355	2606
120	357	2595
121	358	2580
122	360	2570
123	362	2559
124	364	2554
125	368	2555
126	369	2542
127	371	2532
128	373	2520
129	374	2509
130	376	2498
131	378	2489
132	381	2483
133	382	2473
134	384	2464
135	386	2454
136	388	2445
137	390	2436
138	392	2429
139	394	2420
140	397	2418
141	398	2407
142	400	2399
143	402	2391
144	404	2382
145	405	2373
146	407	2367
147	409	2359
148	413	2359
149	415	2351
150	416	2343
151	418	2336
152	420	2328
153	422	2320
154	424	2311
155	425	2303
156	427	2296
157	429	2288
158	431	2280
159	432	2272
160	434	2262
161	436	2256
162	438	2251
163	442	2254
164	444	2247
165	446	2240
166	447	2233
167	449	2225
168	450	2217
169	452	2211
170	454	2203
171	456	2197
172	458	2191
173	460	2184
174	461	2177
175	464	2173
176	466	2167
177	467	2161
178	469	2155
179	471	2149
180	473	2143
181	475	2136
182	477	2130
183	478	2123
184	480	2116
185	482	2109
186	483	2103
187	485	2097
188	487	2091
189	489	2086
190	491	2080
191	493	2075
192	494	2069
193	496	2064
